Time,Ax,Ay,Az,Gx,Gy,Gz,LAT,LNG,ALT
6004,0.0463867188,-0.017578125,0.9748535156,-5.7983398438,-9.4604492188,-9.8876953125,53.1156768799,8.8900022507,1.8999999762
6529,0.0515136719,-0.0329589844,0.9752197266,10.9252929688,-9.1552734375,-1.8920898438,53.1156768799,8.8900022507,1.8999999762
6913,0.052734375,-0.0485839844,0.9733886719,-2.197265625,-10.4370117188,-3.4790039062,53.1156730652,8.8899974823,1.8999999762
7529,0.0538330078,0.0869140625,0.9754638672,32.4096679688,-10.5590820312,-5.9814453125,53.1156730652,8.8899974823,1.8999999762
7924,-0.0192871094,0.0678710938,0.9364013672,-2.9907226562,-147.5219726562,3.7231445312,53.1156692505,8.8899946213,2.2000000477
8529,-0.0891113281,-0.1131591797,0.4322509766,5.7983398438,48.583984375,-17.1508789062,53.1156692505,8.8899946213,2.2000000477
8910,0.1268310547,-0.0904541016,1.2193603516,20.3857421875,-15.13671875,-12.8784179688,53.1156692505,8.8899936676,2.4000000954
9530,0.1141357422,-0.0186767578,1.0614013672,-34.3017578125,122.0092773438,-10.1318359375,53.1156692505,8.8899936676,2.4000000954
9911,0.0021972656,0.1923828125,1.1759033203,21.3623046875,-10.25390625,-8.7280273438,53.1156654358,8.8899888992,2.7999999523
10532,-0.0744628906,0.0202636719,0.7630615234,18.310546875,149.9633789062,-28.6865234375,53.1156654358,8.8899888992,2.7999999523
10912,-0.2623291016,-0.0467529297,-0.0483398438,4.150390625,-71.7163085938,-61.9506835938,53.1156578064,8.8899841309,3
11530,-0.1550292969,-0.0177001953,0.6512451172,-43.8232421875,-123.53515625,33.5083007812,53.1156578064,8.8899841309,3
11911,0.13671875,0.0085449219,1.0970458984,13.18359375,177.978515625,-17.7001953125,53.1156539917,8.8899774551,3.2999999523
12530,0.1979980469,-0.1353759766,1.42578125,-6.1645507812,-77.7587890625,6.5307617188,53.1156539917,8.8899774551,3.2999999523
12910,-0.1229248047,0.0078125,0.6381835938,9.8876953125,69.5190429688,-18.06640625,53.115650177,8.8899736404,3.7000000477
13530,-0.0620117188,-0.1871337891,1.0701904297,6.4697265625,-13.4887695312,-18.310546875,53.115650177,8.8899736404,3.7000000477
13910,0.1072998047,-0.0233154297,0.9630126953,-129.0893554688,-13.7329101562,-16.0522460938,53.1156463623,8.8899707794,3.7999999523
14530,-0.0037841797,0.1669921875,0.9130859375,-38.57421875,-18.6157226562,-33.5083007812,53.1156463623,8.8899707794,3.7999999523
14925,0.1007080078,0.3243408203,0.9182128906,3.662109375,-10.6811523438,-12.5122070312,53.115650177,8.8899755478,4.3000001907
15529,-0.3114013672,0.9261474609,0.9072265625,-136.5356445312,37.5366210938,22.705078125,53.115650177,8.8899755478,4.3000001907
15910,-0.0323486328,0.8693847656,0.9838867188,-56.5795898438,-15.1977539062,-82.0922851562,53.115650177,8.8899803162,4.6999998093
16532,0.5340576172,0.3200683594,0.9638671875,173.095703125,-24.4140625,-44.3725585938,53.115650177,8.8899803162,4.6999998093
16926,0.2314453125,-0.4387207031,0.9821777344,85.8154296875,-20.263671875,-73.6083984375,53.1156463623,8.8899812698,5.9000000954
17529,0.0679931641,0.4874267578,0.8397216797,77.63671875,-7.3852539062,-89.7216796875,53.1156463623,8.8899812698,5.9000000954
17909,0.0627441406,-0.0118408203,0.9971923828,5.9814453125,-20.3857421875,8.9111328125,53.1156387329,8.8899974823,7.0999999046
18531,0.056640625,0.0029296875,1.2026367188,32.71484375,26.9165039062,-7.3852539062,53.1156387329,8.8899974823,7.0999999046
18971,0.6763916016,-0.0877685547,1.1068115234,-64.1479492188,25.0854492188,-182.9223632812,53.1156311035,8.8900232315,8.1999998093
19530,0.2800292969,0.1029052734,0.7956542969,26.7944335938,-2.685546875,34.9731445312,53.1156311035,8.8900232315,8.1999998093
19910,-0.0667724609,-0.0268554688,1.0997314453,18.1884765625,-28.9306640625,40.8325195312,53.1156387329,8.8900604248,9.3999996185
20532,0.2135009766,-0.2552490234,1.1585693359,-5.126953125,10.4370117188,-59.2041015625,53.1156387329,8.8900604248,9.3999996185
20913,-0.0087890625,-0.0172119141,1.1600341797,-30.0903320312,14.5263671875,-39.8559570312,53.1156349182,8.8900966644,10.3000001907
21529,0.2008056641,-0.0567626953,0.8198242188,36.6821289062,-12.1459960938,56.8237304688,53.1156349182,8.8900966644,10.3000001907
21910,-0.1356201172,0.2203369141,0.7702636719,39.1235351562,-12.0239257812,-1.5869140625,53.1156234741,8.8901329041,10.5
22530,-0.1568603516,0.0361328125,0.6462402344,-44.9829101562,-21.1791992188,-68.4204101562,53.1156234741,8.8901329041,10.5
