"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.192888737E-2,5.311572451E1,8.890078499E0,2.356665063E0,5.395136476E-1,1.253294443E2,1.371763912E1,1.371763912E1
1.126576185E0,5.311568943E1,8.890146079E0,2.377561767E0,1.073361397E0,1.344337706E2,1.612056587E1,1.612056587E1
2.126655817E0,5.311569207E1,8.890116141E0,2.451719665E0,1.073361397E0,1.651589146E2,1.247236422E1,1.247236422E1
3.076716423E0,5.311568468E1,8.890125275E0,2.478955342E0,4.679585993E-1,1.632323193E2,1.156872921E1,1.156872921E1
4.072776318E0,5.311567497E1,8.890127312E0,2.495674498E0,4.679585993E-1,1.656562283E2,1.162092657E1,1.162092657E1
5.072831154E0,5.311567293E1,8.890123494E0,2.514420195E0,4.679585993E-1,1.788886789E2,1.528855353E1,1.528855353E1
6.072881222E0,5.311566712E1,8.890105858E0,2.537895458E0,5.047785044E-1,1.951760192E2,1.883028554E1,1.883028554E1
7.072637081E0,5.311566657E1,8.890092216E0,2.549193876E0,5.047785044E-1,2.185304216E2,1.571682307E1,1.571682307E1
8.072701931E0,5.311566685E1,8.890089657E0,2.558863327E0,4.147630930E-1,1.815481384E2,9.714688439E0,9.714688439E0
9.072747946E0,5.311566710E1,8.890081051E0,2.571117084E0,2.213363945E-1,2.085744741E2,9.465065034E0,9.465065034E0
1.007281470E1,5.311565950E1,8.890076070E0,2.573865192E0,2.828344703E-1,1.882195508E2,9.272640248E0,9.272640248E0
1.107188249E1,5.311565701E1,8.890066446E0,2.572034029E0,3.925323188E-1,2.054677255E2,9.274509815E0,9.274509815E0
1.207293141E1,5.311566262E1,8.890064107E0,2.571918952E0,7.708203048E-2,1.779261621E2,1.497788355E1,1.497788355E1
1.307399535E1,5.311566262E1,8.890064107E0,2.571919022E0,7.708203048E-2,-1.000000000E0,1.497788355E1,1.497788355E1
1.407405734E1,5.311566725E1,8.890062031E0,2.577011871E0,5.148064718E-2,-1.000000000E0,8.975555448E0,8.975555448E0
1.507409179E1,5.311567274E1,8.890059411E0,2.571303204E0,7.708203048E-2,-1.000000000E0,8.608534134E0,8.608534134E0
1.607414353E1,5.311567057E1,8.890055854E0,2.583789659E0,1.442814171E-1,-1.000000000E0,1.196848653E1,1.196848653E1
1.707419574E1,5.311567548E1,8.890062268E0,2.590057637E0,3.436712548E-2,-1.000000000E0,8.639351216E0,8.639351216E0
1.807422018E1,5.311567665E1,8.890084484E0,2.608538386E0,2.417686135E-1,9.974901187E1,7.413640351E0,7.413640351E0
1.907426047E1,5.311567806E1,8.890081164E0,2.599853287E0,2.417686135E-1,2.561335205E2,6.970810406E0,6.970810406E0
2.007430375E1,5.311567858E1,8.890084670E0,2.599853284E0,0.000000000E0,2.561335233E2,6.726757998E0,6.726757998E0
2.107432055E1,5.311567858E1,8.890084670E0,2.599853284E0,0.000000000E0,2.561335233E2,6.775494447E0,6.775494447E0
2.207433188E1,5.311567644E1,8.890075376E0,2.615420524E0,2.147658616E-1,-1.000000000E0,7.740949249E0,7.740949249E0
2.307434142E1,5.311567545E1,8.890074805E0,2.617017779E0,1.142913327E-1,-1.000000000E0,6.997985280E0,6.997985280E0
2.407435071E1,5.311567924E1,8.890079126E0,2.621666271E0,1.187855899E-1,-1.000000000E0,1.113222025E1,1.113222025E1
2.507435870E1,5.311568339E1,8.890080811E0,2.630427415E0,1.057593077E-1,-1.000000000E0,6.927913288E0,6.927913288E0
2.607436395E1,5.311568818E1,8.890080960E0,2.624243478E0,1.752658039E-1,-1.000000000E0,6.277201275E0,6.277201275E0
2.707437301E1,5.311568818E1,8.890080960E0,2.624243478E0,0.000000000E0,-1.000000000E0,6.936620903E0,6.936620903E0
2.807437253E1,5.311569412E1,8.890069444E0,2.604031757E0,1.305140853E-1,-1.000000000E0,7.556683802E0,7.556683802E0
2.907437420E1,5.311569493E1,8.890063356E0,2.599625703E0,1.099060178E-1,-1.000000000E0,6.328068805E0,6.328068805E0
3.007437634E1,5.311569423E1,8.890056409E0,2.603512133E0,6.197218224E-2,-1.000000000E0,6.345736774E0,6.345736774E0
3.107437778E1,5.311569346E1,8.890054403E0,2.615422734E0,3.850709647E-2,-1.000000000E0,9.836526538E0,9.836526538E0
